old_lawd_cd,new_lawd_cd,resolved_lawd_cd,change_date,sido_nm,city_stem,sgg_old,sgg_new,umd_nm,ri_nm
4111311400,4111513700,4111513700,20080506,경기도,수원시,수원시 권선구,수원시 팔달구,고등동,
4111310500,4111312800,4111312800,20080506,경기도,수원시,수원시 권선구,수원시 권선구,고색동,
4111312000,4111313600,4111313600,20080506,경기도,수원시,수원시 권선구,수원시 권선구,곡반정동,
4111310200,4111513200,4111513200,20080506,경기도,수원시,수원시 권선구,수원시 팔달구,교동,
4111310900,4111313200,4111313200,20080506,경기도,수원시,수원시 권선구,수원시 권선구,구운동,
4111510700,4111512600,4111512600,20080506,경기도,수원시,수원시 팔달구,수원시 팔달구,구천동,
4111312100,4111313700,4111313700,20080506,경기도,수원시,수원시 권선구,수원시 권선구,권선동,
4111312200,4111313400,4111313400,20080506,경기도,수원시,수원시 권선구,수원시 권선구,금곡동,
4111510800,4111512700,4111512700,20080506,경기도,수원시,수원시 팔달구,수원시 팔달구,남수동,
4111510400,4111512300,4111512300,20080506,경기도,수원시,수원시 팔달구,수원시 팔달구,남창동,
4111312500,4111314100,4111314100,20080506,경기도,수원시,수원시 권선구,수원시 권선구,당수동,
4111311900,4111313900,4111313900,20080506,경기도,수원시,수원시 권선구,수원시 권선구,대황교동,
4111511900,4111710700,4111710700,20080506,경기도,수원시,수원시 팔달구,수원시 영통구,망포동,
4111310100,4111513300,4111513300,20080506,경기도,수원시,수원시 권선구,수원시 팔달구,매교동,
4111311100,4111513400,4111513400,20080506,경기도,수원시,수원시 권선구,수원시 팔달구,매산로1가,
4111311200,4111513500,4111513500,20080506,경기도,수원시,수원시 권선구,수원시 팔달구,매산로2가,
4111311300,4111513600,4111513600,20080506,경기도,수원시,수원시 권선구,수원시 팔달구,매산로3가,
4111511500,4111710100,4111710100,20080506,경기도,수원시,수원시 팔달구,수원시 영통구,매탄동,
4111510900,4111512800,4111512800,20080506,경기도,수원시,수원시 팔달구,수원시 팔달구,매향동,
4111111000,4111512900,4111512900,20080506,경기도,수원시,수원시 장안구,수원시 팔달구,북수동,
4111112300,4111113800,4111113800,20080506,경기도,수원시,수원시 장안구,수원시 장안구,상광교동,
4111310800,4111313100,4111313100,20080506,경기도,수원시,수원시 권선구,수원시 권선구,서둔동,
4111310300,4111312600,4111312600,20080506,경기도,수원시,수원시 권선구,수원시 권선구,세류동,
4111112100,4111113500,4111113500,20080506,경기도,수원시,수원시 장안구,수원시 장안구,송죽동,
4111511800,4111710600,4111710600,20080506,경기도,수원시,수원시 팔달구,수원시 영통구,신동,
4111111200,4111513000,4111513000,20080506,경기도,수원시,수원시 장안구,수원시 팔달구,신풍동,
4111112200,4111113700,4111113700,20080506,경기도,수원시,수원시 장안구,수원시 장안구,연무동,
4111510500,4111512400,4111512400,20080506,경기도,수원시,수원시 팔달구,수원시 팔달구,영동,
4111511700,4111710500,4111710500,20080506,경기도,수원시,수원시 팔달구,수원시 영통구,영통동,
4111111900,4111113400,4111113400,20080506,경기도,수원시,수원시 장안구,수원시 장안구,영화동,
4111310600,4111312900,4111312900,20080506,경기도,수원시,수원시 권선구,수원시 권선구,오목천동,
4111511100,4111514000,4111514000,20080506,경기도,수원시,수원시 팔달구,수원시 팔달구,우만동,
4111511600,4111710200,4111710200,20080506,경기도,수원시,수원시 팔달구,수원시 영통구,원천동,
4111111600,4111113200,4111113200,20080506,경기도,수원시,수원시 장안구,수원시 장안구,율전동,
4111111500,4111113100,4111113100,20080506,경기도,수원시,수원시 장안구,수원시 장안구,이목동,
4111511200,4111710300,4111710300,20080506,경기도,수원시,수원시 팔달구,수원시 영통구,이의동,
4111511400,4111514100,4111514100,20080506,경기도,수원시,수원시 팔달구,수원시 팔달구,인계동,
4111312400,4111314000,4111314000,20080506,경기도,수원시,수원시 권선구,수원시 권선구,입북동,
4111111100,4111513100,4111513100,20080506,경기도,수원시,수원시 장안구,수원시 팔달구,장안동,
4111311800,4111313800,4111313800,20080506,경기도,수원시,수원시 권선구,수원시 권선구,장지동,
4111111800,4111113000,4111113000,20080506,경기도,수원시,수원시 장안구,수원시 장안구,정자동,
4111112000,4111113600,4111113600,20080506,경기도,수원시,수원시 장안구,수원시 장안구,조원동,
4111510600,4111512500,4111512500,20080506,경기도,수원시,수원시 팔달구,수원시 팔달구,중동,
4111511000,4111513900,4111513900,20080506,경기도,수원시,수원시 팔달구,수원시 팔달구,지동,
4111111700,4111113300,4111113300,20080506,경기도,수원시,수원시 장안구,수원시 장안구,천천동,
4111311000,4111313300,4111313300,20080506,경기도,수원시,수원시 권선구,수원시 권선구,탑동,
4111111400,4111112900,4111112900,20080506,경기도,수원시,수원시 장안구,수원시 장안구,파장동,
4111510100,4111512000,4111512000,20080506,경기도,수원시,수원시 팔달구,수원시 팔달구,팔달로1가,
4111510200,4111512100,4111512100,20080506,경기도,수원시,수원시 팔달구,수원시 팔달구,팔달로2가,
4111510300,4111512200,4111512200,20080506,경기도,수원시,수원시 팔달구,수원시 팔달구,팔달로3가,
4111310400,4111312700,4111312700,20080506,경기도,수원시,수원시 권선구,수원시 권선구,평동,
4111310700,4111313000,4111313000,20080506,경기도,수원시,수원시 권선구,수원시 권선구,평리동,
4111112400,4111113900,4111113900,20080506,경기도,수원시,수원시 장안구,수원시 장안구,하광교동,
4111511300,4111710400,4111710400,20080506,경기도,수원시,수원시 팔달구,수원시 영통구,하동,
4111312300,4111313500,4111313500,20080506,경기도,수원시,수원시 권선구,수원시 권선구,호매실동,
4111111300,4111513800,4111513800,20080506,경기도,수원시,수원시 장안구,수원시 팔달구,화서동,
4127012000,4127111100,4127111100,20080506,경기도,안산시,안산시,안산시 상록구,건건동,
4127011000,4127310100,4127310100,20080506,경기도,안산시,안산시,안산시 단원구,고잔동,
4127013300,4127311200,4127311200,20080506,경기도,안산시,안산시,안산시 단원구,대부남동,
4127013100,4127311000,4127311000,20080506,경기도,안산시,안산시,안산시 단원구,대부동동,
4127013200,4127311100,4127311100,20080506,경기도,안산시,안산시,안산시 단원구,대부북동,
4127011400,4127310600,4127310600,20080506,경기도,안산시,안산시,안산시 단원구,목내동,
4127010400,4127110400,4127110400,20080506,경기도,안산시,안산시,안산시 상록구,본오동,
4127010700,4127110700,4127110700,20080506,경기도,안산시,안산시,안산시 상록구,부곡동,
4127010300,4127110300,4127110300,20080506,경기도,안산시,안산시,안산시 상록구,사동,
4127012100,4127111200,4127111200,20080506,경기도,안산시,안산시,안산시 상록구,사사동,
4127012500,4127311300,4127311300,20080506,경기도,안산시,안산시,안산시 단원구,선감동,
4127011800,4127310900,4127310900,20080506,경기도,안산시,안산시,안산시 단원구,선부동,
4127011300,4127310400,4127310400,20080506,경기도,안산시,안산시,안산시 단원구,성곡동,
4127010800,4127110800,4127110800,20080506,경기도,안산시,안산시,안산시 상록구,성포동,
4127012700,4127111300,4127111300,20080506,경기도,안산시,안산시,안산시 상록구,수암동,
4127011200,4127310300,4127310300,20080506,경기도,안산시,안산시,안산시 단원구,신길동,
4127010600,4127110600,4127110600,20080506,경기도,안산시,안산시,안산시 상록구,양상동,
4127011100,4127310200,4127310200,20080506,경기도,안산시,안산시,안산시 단원구,와동,
4127011700,4127310800,4127310800,20080506,경기도,안산시,안산시,안산시 단원구,원곡동,
4127011500,4127310500,4127310500,20080506,경기도,안산시,안산시,안산시 단원구,원시동,
4127010900,4127110900,4127110900,20080506,경기도,안산시,안산시,안산시 상록구,월피동,
4127010200,4127110200,4127110200,20080506,경기도,안산시,안산시,안산시 상록구,이동,
4127010100,4127110100,4127110100,20080506,경기도,안산시,안산시,안산시 상록구,일동,
4127012800,4127111400,4127111400,20080506,경기도,안산시,안산시,안산시 상록구,장상동,
4127012900,4127111500,4127111500,20080506,경기도,안산시,안산시,안산시 상록구,장하동,
4127011600,4127310700,4127310700,20080506,경기도,안산시,안산시,안산시 단원구,초지동,
4127010500,4127110500,4127110500,20080506,경기도,안산시,안산시,안산시 상록구,팔곡이동,
4127011900,4127111000,4127111000,20080506,경기도,안산시,안산시,안산시 상록구,팔곡일동,
4127012600,4127311400,4127311400,20080506,경기도,안산시,안산시,안산시 단원구,풍도동,
4127013000,4127311500,4127311500,20080506,경기도,안산시,안산시,안산시 단원구,화정동,
4117310500,4117110100,4117110100,20080506,경기도,안양시,안양시 동안구,안양시 만안구,안양동,
5211310100,5211114700,5211114700,20080506,전북특별자치도,전주시,전주시 덕진구,전주시 완산구,서노송동,
4425032025,4425032026,,20080506,충청남도,계룡시,계룡시,계룡시,남선면,남선리
4425032022,4425032028,,20080506,충청남도,계룡시,계룡시,계룡시,남선면,부남리
4425032023,4425032029,,20080506,충청남도,계룡시,계룡시,계룡시,남선면,석계리
4425032024,4425032030,,20080506,충청남도,계룡시,계룡시,계룡시,남선면,용동리
4425032021,4425032027,,20080506,충청남도,계룡시,계룡시,계룡시,남선면,정장리
4425031520,4425031521,4425031521,20080506,충청남도,계룡시,계룡시,계룡시,엄사면,엄사리
4146011400,4146510400,4146510400,20080513,경기도,용인시,용인시,용인시 수지구,고기동,
4146010600,4146110600,4146110600,20080513,경기도,용인시,용인시,용인시 처인구,고림동,
4146010100,4146110100,4146110100,20080513,경기도,용인시,용인시,용인시 처인구,김량장동,
4146010400,4146110400,4146110400,20080513,경기도,용인시,용인시,용인시 처인구,남동,
4146034000,4146132000,,20080513,경기도,용인시,용인시,용인시 처인구,남사면,
4146034028,4146132028,,20080513,경기도,용인시,용인시,용인시 처인구,남사면,방아리
4146034024,4146132024,,20080513,경기도,용인시,용인시,용인시 처인구,남사면,봉명리
4146034021,4146132021,,20080513,경기도,용인시,용인시,용인시 처인구,남사면,봉무리
4146034022,4146132022,,20080513,경기도,용인시,용인시,용인시 처인구,남사면,북리
4146034030,4146132030,,20080513,경기도,용인시,용인시,용인시 처인구,남사면,아곡리
4146034031,4146132031,,20080513,경기도,용인시,용인시,용인시 처인구,남사면,완장리
4146034026,4146132026,,20080513,경기도,용인시,용인시,용인시 처인구,남사면,원암리
4146034027,4146132027,,20080513,경기도,용인시,용인시,용인시 처인구,남사면,전궁리
4146034025,4146132025,,20080513,경기도,용인시,용인시,용인시 처인구,남사면,진목리
4146034029,4146132029,,20080513,경기도,용인시,용인시,용인시 처인구,남사면,창리
4146034023,4146132023,,20080513,경기도,용인시,용인시,용인시 처인구,남사면,통삼리
4146011300,4146510300,4146510300,20080513,경기도,용인시,용인시,용인시 수지구,동천동,
4146010700,4146110700,4146110700,20080513,경기도,용인시,용인시,용인시 처인구,마평동,
4146032000,4146131000,,20080513,경기도,용인시,용인시,용인시 처인구,모현면,
4146032022,4146131022,,20080513,경기도,용인시,용인시,용인시 처인구,모현면,갈담리
4146032027,4146131027,,20080513,경기도,용인시,용인시,용인시 처인구,모현면,능원리
4146032026,4146131026,,20080513,경기도,용인시,용인시,용인시 처인구,모현면,동림리
4146032025,4146131025,,20080513,경기도,용인시,용인시,용인시 처인구,모현면,매산리
4146032028,4146131028,,20080513,경기도,용인시,용인시,용인시 처인구,모현면,오산리
4146032021,4146131021,,20080513,경기도,용인시,용인시,용인시 처인구,모현면,왕산리
4146032024,4146131024,,20080513,경기도,용인시,용인시,용인시 처인구,모현면,일산리
4146032023,4146131023,,20080513,경기도,용인시,용인시,용인시 처인구,모현면,초부리
4146037000,4146135000,4146135000,20080513,경기도,용인시,용인시,용인시 처인구,백암면,
4146037033,4146135033,4146135033,20080513,경기도,용인시,용인시,용인시 처인구,백암면,가좌리
4146037032,4146135032,4146135032,20080513,경기도,용인시,용인시,용인시 처인구,백암면,가창리
4146037024,4146135024,4146135024,20080513,경기도,용인시,용인시,용인시 처인구,백암면,고안리
4146037031,4146135031,4146135031,20080513,경기도,용인시,용인시,용인시 처인구,백암면,근곡리
4146037029,4146135029,4146135029,20080513,경기도,용인시,용인시,용인시 처인구,백암면,근삼리
4146037030,4146135030,4146135030,20080513,경기도,용인시,용인시,용인시 처인구,백암면,근창리
4146037022,4146135022,4146135022,20080513,경기도,용인시,용인시,용인시 처인구,백암면,박곡리
4146037023,4146135023,4146135023,20080513,경기도,용인시,용인시,용인시 처인구,백암면,백봉리
4146037021,4146135021,4146135021,20080513,경기도,용인시,용인시,용인시 처인구,백암면,백암리
4146037027,4146135027,4146135027,20080513,경기도,용인시,용인시,용인시 처인구,백암면,석천리
4146037025,4146135025,4146135025,20080513,경기도,용인시,용인시,용인시 처인구,백암면,옥산리
4146037028,4146135028,4146135028,20080513,경기도,용인시,용인시,용인시 처인구,백암면,용천리
4146037026,4146135026,4146135026,20080513,경기도,용인시,용인시,용인시 처인구,백암면,장평리
4146010300,4146110300,4146110300,20080513,경기도,용인시,용인시,용인시 처인구,삼가동,
4146011700,4146510700,4146510700,20080513,경기도,용인시,용인시,용인시 수지구,상현동,
4146011600,4146510600,4146510600,20080513,경기도,용인시,용인시,용인시 수지구,성복동,
