complex_id,apt_name,sigungu,coord_status,reb_status,our_pnu_key,our_jibun_addr
cx_0000802f1c42d195,"sg타워",중랑구,NO_MATCH,EXACT_JIBUN_ADDRESS,112601020001280010,"서울 중랑구 상봉동 128-10"
cx_00061802cdff3cdc,"힐스테이트상도프레스티지",동작구,NO_MATCH,EXACT_PARCEL,115901020005330000,"서울 동작구 상도동 533"
cx_0018ab93a67a00b2,"markhills",동작구,NO_MATCH,EXACT_JIBUN_ADDRESS,115901050001720008,"서울 동작구 흑석동 172-8"
cx_001b6dbe1fb7bbaa,"현대홈타운",강동구,NO_MATCH,EXACT_PARCEL,117401070004000000,"서울 강동구 암사동 400"
cx_0022ba909cdf80cf,"성지하우스",관악구,NO_MATCH,EXACT_JIBUN_ADDRESS,116201020006260011,"서울 관악구 신림동 626-11"
cx_00273cad5221a64a,"선우쉐르빌",구로구,NO_MATCH,EXACT_JIBUN_ADDRESS,115301090002110001,"서울 구로구 궁동 211-1"
cx_003619d40a7f6583,"서초지웰",서초구,NO_MATCH,EXACT_JIBUN_ADDRESS,116501080014580006,"서울 서초구 서초동 1458-6"
cx_004078590a07321d,"동부센트레빌",성북구,NO_MATCH,EXACT_PARCEL,112901030006330000,"서울 성북구 돈암동 633"
cx_0041cfd994dc0cd0,"옥수삼성",성동구,NO_MATCH,EXACT_PARCEL,112001130002500000,"서울 성동구 옥수동 250"
cx_004c0f19728c5c7c,"쌍용",도봉구,NO_MATCH,EXACT_PARCEL,113201070008070000,"서울 도봉구 창동 807"
cx_0074b35c6bca6137,"삼흥",종로구,NO_MATCH,EXACT_JIBUN_ADDRESS,111101740006380045,"서울 종로구 창신동 638-45"
cx_007f311446966396,"대성효창",용산구,NO_MATCH,EXACT_JIBUN_ADDRESS,111701190000050258,"서울 용산구 효창동 5-258"
cx_00886cccd757df9c,"홍제원그린뷰아파트",서대문구,NO_MATCH,EXACT_JIBUN_ADDRESS,114101110001570003,"서울 서대문구 홍제동 157-3"
cx_009479e3b5c21988,"어반허브서울스테이션(urbanhubseoulstation)",용산구,NO_MATCH,EXACT_JIBUN_ADDRESS,111701080001000001,"서울 용산구 서계동 100-1"
cx_00b1656f00a37a6c,"반포힐스테이트",서초구,NO_MATCH,EXACT_JIBUN_ADDRESS,116501070000160006,"서울 서초구 반포동 16-6"
