complex_id,apt_name,sigungu,identity_status,join_status,full_pnus
cx_0000802f1c42d195,"sg타워",중랑구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1126010200101280000"]
cx_0018ab93a67a00b2,"markhills",동작구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1159010500101720000"]
cx_0022ba909cdf80cf,"성지하우스",관악구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1162010200106260000"]
cx_00273cad5221a64a,"선우쉐르빌",구로구,SINGLE_PARCEL,PNU_NOT_FOUND,["1153010900102110000"]
cx_003619d40a7f6583,"서초지웰",서초구,SINGLE_PARCEL,PNU_NOT_FOUND,["1165010800114580000"]
cx_0074b35c6bca6137,"삼흥",종로구,SINGLE_PARCEL,PNU_NOT_FOUND,["1111017400106380000"]
cx_007f311446966396,"대성효창",용산구,SINGLE_PARCEL,PNU_NOT_FOUND,["1117011900100050000"]
cx_00886cccd757df9c,"홍제원그린뷰아파트",서대문구,SINGLE_PARCEL,PNU_NOT_FOUND,["1141011100101570000"]
cx_009479e3b5c21988,"어반허브서울스테이션(urbanhubseoulstation)",용산구,SINGLE_PARCEL,PNU_NOT_FOUND,["1117010800101000000"]
cx_00b1656f00a37a6c,"반포힐스테이트",서초구,SINGLE_PARCEL,PNU_NOT_FOUND,["1165010700100160000"]
cx_00b2a8e1482be12f,"동방",강동구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1174010800104070000"]
cx_00baaa91c3085fa8,"용두아파트",동대문구,SINGLE_PARCEL,PNU_NOT_FOUND,["1123010200100390000"]
cx_00d6763a231997f9,"현대플라티앙2",용산구,SINGLE_PARCEL,PNU_NOT_FOUND,["1117013200100010000"]
cx_00dbb01fb440d612,"신동아아파트(1차)",서초구,NO_PNU,NO_PNU,[]
cx_00e3aded39b94194,"(743-33)",구로구,SINGLE_PARCEL,PNU_NOT_FOUND,["1153010200107430000"]
cx_00fa816d47332a11,"삼성그린101동",동작구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1159010700101800000"]
cx_0101e6b280d42112,"길음뉴타운2단지푸르지오",성북구,MULTI_RECORD_SAME_PARCEL,PNU_LOT_CONFLICT,["1129013400112800000"]
cx_01102d6d47e63118,"롯데캐슬헤론",서초구,SINGLE_PARCEL,PNU_NOT_FOUND,["1165010100107540000"]
cx_0111aee17f914cd3,"목동대림",양천구,MULTI_RECORD_SAME_PARCEL,PNU_LOT_CONFLICT,["1147010200104050000"]
cx_0118168189afffaf,"현진아파트",도봉구,SINGLE_PARCEL,PNU_NOT_FOUND,["1132010700102540000"]
cx_011d09c356c0acd7,"은하아파트",양천구,SINGLE_PARCEL,PNU_NOT_FOUND,["1147010300101400000"]
cx_013bfc6baa047f60,"도시그린빌라",종로구,SINGLE_PARCEL,PNU_NOT_FOUND,["1111017500101810000"]
cx_0150f117825323ce,"삼성아트빌(715-32)",관악구,SINGLE_PARCEL,PNU_NOT_FOUND,["1162010200107150000"]
cx_016721d1bffdbdb2,"신반포6",서초구,NO_PNU,NO_PNU,[]
cx_017398cc9873eff8,"기아하이츠빌",관악구,SINGLE_PARCEL,PNU_NOT_FOUND,["1162010300110530000"]
cx_018806cc9fb6e2e0,"신구드림하우스",서초구,NO_PNU,NO_PNU,[]
cx_019508a9ebcb4a00,"방학지음재힐스",도봉구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1132010600107170000"]
cx_019b28227c455a53,"삼성",중랑구,SINGLE_PARCEL,PNU_NOT_FOUND,["1126010400101610000"]
cx_019b3fbe56815f11,"대명아파트",노원구,NO_PNU,NO_PNU,[]
cx_01a01c194bce0a20,"휴먼스타빌",강남구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1168010400100050000"]
cx_01aefa6c239af67f,"dk밸리뷰시티",서초구,SINGLE_PARCEL,PNU_NOT_FOUND,["1165010800115840000"]
cx_01bad8410daff884,"포렛힐",서초구,SINGLE_PARCEL,PNU_NOT_FOUND,["1165010100108030000"]
cx_01c33322f9f5f00c,"후암맨션",용산구,SINGLE_PARCEL,PNU_NOT_FOUND,["1117010100100010000"]
cx_01c5b2fb53e06027,"시원트레벨",영등포구,MULTI_RECORD_SAME_PARCEL,PNU_LOT_CONFLICT,["1156013200105070000"]
cx_01d89c141f86b0f4,"근상프리즘(957-1)",강서구,SINGLE_PARCEL,PNU_NOT_FOUND,["1150010300109570000"]
cx_01db55db391c7225,"신주아파트b",도봉구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1132010600106950000"]
cx_01e8ea7544ceffa0,"삼호그린(346-19)",강서구,SINGLE_PARCEL,PNU_NOT_FOUND,["1150010300103460000"]
cx_01f243c38e5ae9c6,"강산빌라트",양천구,SINGLE_PARCEL,PNU_NOT_FOUND,["1147010200107580000"]
cx_0208853f4c4c3b3e,"센트럴파크아파트",강서구,SINGLE_PARCEL,PNU_NOT_FOUND,["1150010300109000000"]
cx_020b58b065aff3e7,"태승훼미리2",강서구,MULTI_RECORD_SAME_PARCEL,PNU_LOT_CONFLICT,["1150010600106850000"]
cx_02314be6d5712bc6,"마곡엠밸리9단지",강서구,SINGLE_PARCEL,PNU_NOT_FOUND,["1150010500107440000"]
cx_024dc87da85ec918,"청원다미소",중랑구,SINGLE_PARCEL,PNU_NOT_FOUND,["1126010300102860000"]
cx_02535d4a8b1b6823,"구로아트빌라4동(806-33)",구로구,SINGLE_PARCEL,PNU_NOT_FOUND,["1153010200108060000"]
cx_026cad617b3a239b,"위례캐스빌",송파구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1171010400101040000"]
cx_026eb8813d5f1a90,"lig5차",관악구,SINGLE_PARCEL,PNU_NOT_FOUND,["1162010200102330000"]
cx_02786b4ea6ff6113,"두원빌드피아(510-3)",양천구,SINGLE_PARCEL,PNU_NOT_FOUND,["1147010300105100000"]
cx_027fd36d246b79d3,"(794-22)",구로구,SINGLE_PARCEL,PNU_NOT_FOUND,["1153010200107940000"]
cx_02807af7d759e808,"세진",양천구,SINGLE_PARCEL,PNU_NOT_FOUND,["1147010300100200000"]
cx_02870887feec7b9e,"현대홈타운스위트103",송파구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1171011100101980000"]
cx_0289dad383030c83,"용산큐브",용산구,SINGLE_PARCEL,PNU_NOT_FOUND,["1117012200100240000"]
cx_02904e5aeb9e11de,"럭키(462)",강남구,MULTI_RECORD_SAME_PARCEL,PNU_LOT_CONFLICT,["1168011800104620000"]
cx_0292f10df205df20,"블루힐",강서구,SINGLE_PARCEL,PNU_NOT_FOUND,["1150010300103920000"]
cx_02a357bf56a0420b,"오금그랑밸리",송파구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1171011200100710000"]
cx_02acb3b4096c20a8,"화이트타운",용산구,SINGLE_PARCEL,PNU_NOT_FOUND,["1117011900100050000"]
cx_02cf244f3429ec17,"효창팰리스2차",용산구,SINGLE_PARCEL,PNU_NOT_FOUND,["1117011900100050000"]
cx_02d43e11d15ba140,"목동2차아이파크",양천구,SINGLE_PARCEL,PNU_NOT_FOUND,["1147010200107580000"]
cx_02d8e414a0dc5f24,"청원주택",구로구,SINGLE_PARCEL,PNU_NOT_FOUND,["1153010200107790000"]
cx_02e5c9223b4680c6,"센트럴큐브",성동구,SINGLE_PARCEL,PNU_NOT_FOUND,["1120010100100120000"]
