complex_id,pnu,sido_code
cx_0003e4fb3f3b213f,4427031029106420002,44
cx_001928890b44ffbe,4421010700107010000,44
cx_001d7b06b16cc257,3117010400102800003,31
cx_002b3646e4229aa8,4413310200113220000,44
cx_0035e0f664952371,4420010300100570006,44
cx_00369e1e89701dee,1230010900100650006,12
cx_003a83cff332fdd5,5123025034103460000,51
cx_003ecb5eb4302935,4480025625112040000,44
cx_004681fee4a67402,4375025325131480000,43
cx_004b156d376a2ee6,5214012100106200003,52
cx_005913b71d1f53ac,3020011700102840002,30
cx_005a838e9c2748f6,4311112000100770007,43
cx_005fde2b05fe1b5c,3017011200115100000,30
cx_00656e495a3b61e1,1217013400103780000,12
cx_007042986e09048e,2726011100100810002,27
cx_00860b3bf4490ee1,4825010700114280002,48
cx_008e23e2e088ff78,5214011200101530001,52
cx_00aa04d085d70c87,4713011400105030000,47
cx_00b011f89dcb3408,3114010500114110000,31
cx_00bad9236dc3684e,4315011600104600000,43
cx_00bbea2aa7563480,5119010400104670000,51
cx_00c4660e4b0cfc32,4812312400100270000,48
cx_00c6061b7fb11abc,4482533027122620003,44
cx_00ccf4b8b7a3280b,4421037026101550003,44
cx_00dbca04c0227620,1280025326117420000,12
cx_00dbcf8abbb299ed,5211113300109520000,52
cx_00ff24e492a2ed52,1224013000107400002,12
cx_010b65e29e0dc3d5,2729010100102230008,27
cx_01199c5af1f3a875,2815510100118810002,28
cx_012752b33b0399f6,4785025021107980000,47
cx_0128a6640da5b336,1224010600104140000,12
cx_012f3668d92e866a,4825011900106900001,48
cx_0130e260e101a69a,1233012500109710000,12
cx_014abfa175a3a4b0,1221010900118150000,12
cx_015ff0b180cda211,4812710500100960013,48
cx_01631dd7a44d42bc,2623010800100170004,26
cx_0165095d9fcb2439,4729011700108950000,47
cx_01651b7c11527ee5,1213013500113110002,12
cx_01669e5551e907a2,4812312700100450001,48
cx_0174161da51cb76e,1230011200110100006,12
cx_0174c7c73c20c60a,4812131030101210001,48
cx_017556656f5860b0,4423010500100790000,44
cx_017b697b3fa0b8cb,2815510100118890002,28
cx_01822b55de54224e,5219011600105760000,52
cx_018f4ad3bda2ec56,5173025022101720000,51
cx_01970bd6cee7c0c3,5213014400108350000,52
cx_01a72bc33acc1abb,2824510100102070001,28
cx_01aa1875235aabf7,5011013000119100000,50
cx_01ae22eca6e86627,4311410300112630000,43
cx_01be3609ed92324e,4817013100105730001,48
cx_01da47dbc83ccb2c,4315012400109050000,43
cx_01ebc9e27de1b19d,4825010900105500000,48
cx_01f2f760ac2c6aed,1211010200111120010,12
cx_01fcf27994c6551f,5211113700107230002,52
cx_01fdf845c970c75a,4375025325131490000,43
cx_021c5a1651cb714a,4413111600108740000,44
cx_0221b49041143d2c,3114010400108150005,31
cx_02386db73b5af056,4831010900109880025,48
cx_02510d85ea0b4eee,4420036032118010000,44
cx_02674768b0e8b369,4480025625109470000,44
cx_026cda563db5a033,3120010800104180000,31
cx_026d559f61160117,5111012300110410000,51
cx_02757322b25337ca,4719012800109190000,47
cx_0276fe22c293525c,4311331031103010001,43
cx_02823095f77aa61b,4420011200101330002,44
cx_02846baeb123b676,2638010300105100027,26
cx_028963efae20581e,2635010500110720234,26
cx_028be4dad3562aab,5211310200110340001,52
cx_0290178c5f6e61eb,5271025021117530000,52
cx_029fae16f3d91bf3,1211010500101200000,12
cx_02aa16536a807fee,3017011000100020000,30
cx_02ba1860c7accc86,2824510200110850002,28
cx_02c3506a4213e5fe,5211313000113450000,52
cx_02d8aa4cd119cf35,4420011100102290071,44
cx_02d8efd71bffb7c2,4882025027100450001,48
cx_02dc18d1eda6b19a,2818510600100020007,28
cx_02ea5e15289ec89a,2650010300101150002,26
cx_02f8ae6dc0a65399,2815510100118710003,28
cx_02fa0289ee2baea5,5211310300108020001,52
cx_02fe8f5ea9eb8f55,4729011100101380006,47
cx_02fe951252300b06,1213031022112540000,12
cx_03073aa77ca7329a,5213014500108520000,52
cx_03109e0d621cdb1f,4311332021105890001,43
cx_03165a868959d1f0,3017010400100230021,30
cx_031c13511ed2216a,1227011500111250001,12
cx_0324d353ea942212,2818510400104500000,28
cx_032812e9c9d932d9,4420025325115300000,44
cx_032ba192a82d3428,5121010800115820000,51
cx_032f0bed4872f2dd,2823710500104400001,28
cx_033c557853135852,3011010900103630000,30
cx_035459ac724d6cf7,4481025021100120000,44
cx_036185aed4afb8a6,4817013100104640000,48
cx_03692ea8f83aa891,2823710600103630000,28
cx_0376159bddf57636,2827511000100300100,28
cx_0384c5734bdee661,4413325333104710000,44
cx_038737cf2718508e,1227010800102150001,12
cx_03906a1f4266d4be,2812514900100100001,28
cx_039c117e7869b3c6,4415010900101030000,44
cx_03aa7e7566802d07,4421010200106390001,44
cx_03b7d07b00822fb7,4833025323112900003,48
cx_03baae73619d51ba,4729011000100350003,47
cx_03d94c214331742c,2820010200109180005,28
cx_03d954eec2ec1e41,4413311000102840001,44
cx_03e29acdbf3e9326,1211015900102550000,12
cx_03e6ad4f8afa0a50,4825010300106060003,48
cx_03ed8ac7f4726854,4713036027103840008,47
cx_04013c0af8dc1234,4413125034101080005,44
cx_0403c4ccb65ac775,4311112400121080000,43
cx_04198133b3ff8cc8,5219011600101630000,52
cx_043a945ec511da85,4715011400105840001,47
cx_044d585b0a12cac5,5113037021118410000,51
cx_047404fb191ecdd0,3120010500103370000,31
cx_04767529bfdd27b6,4420025324117350000,44
cx_048512d0f43895c7,1230011300101180002,12
cx_0489cf9720ec60a5,1224011900101780025,12
cx_048ecb4efc4524cd,4831010900110500000,48
cx_048f2a353cf1f370,4713036027104070000,47
cx_049059fb98c2f580,3611011200101750000,36
cx_0491e6ff3713b218,1219010700102860002,12
cx_049e8135eb62421a,4715011300100660000,47
cx_04d53dc4095513a5,5218012700114940005,52
cx_04d736718aeeeefd,3120010800105000000,31
cx_04db1d0c4f50d08a,4413111900102110000,44
cx_04e0fe48bbe22488,2823710600103620000,28
cx_04e49b215074ce91,4719011700108180000,47
cx_04e7a2d6fd3d509d,3114010600114980004,31
cx_04e80eab1fbe8cb1,5218010400105230000,52
cx_04eb7a6a1e8d78f0,3111010300106770009,31
cx_04ee16733cf69fac,2817710500116000000,28
cx_04fa410756a78e87,2827510100105350001,28
cx_05005b640d62fce2,4311210900104460002,43
cx_0500a578bdf33f13,1230010900117810000,12
cx_050e572b75019034,4831011300108000000,48
cx_051191933ccbc913,1230010800111460001,12
cx_051eaa0a3695c5d2,1224012800111300000,12
cx_052561103b29ed29,4415012000106790000,44
cx_052c3c392ef65d64,4311425331101610000,43
cx_053e35b3e2de91c1,4311210800106190000,43
cx_05578354632d652b,1233010100104480001,12
cx_055da8d900b0f7d6,2827510600103410015,28
cx_05615775f7c5a6a8,1233011900109630001,12
cx_056abd14c9c0440b,3017011200110930000,30
cx_056dfd7be640dacd,2818510600100190003,28
cx_057df3445290a9aa,4825010700115470000,48
cx_05803c1063603bc5,1227010600111350000,12
cx_0580cf4f743b5e34,2820011000106350003,28
cx_058ccdc93620a4cf,3014011800104310001,30
cx_059541e39d311cfe,1230011600107550016,12
cx_059698acdf89882d,5214011100110600000,52
cx_059cc86236f669bb,5213013400104910000,52
cx_059f14c52c2b41b3,4711311400102160000,47
cx_05adac5747424a25,4711312000110710000,47
cx_05b0fc2500f07b69,4415010900101230000,44
cx_05bb9b15855d05cf,5115012500100490000,51
cx_05bd0b61c63b15a5,5213014500109000001,52
cx_05bd3be54071e34d,2824510200100620001,28
cx_05c994c22f5713be,3611025029103930000,36
cx_05cda1c35c1475a8,1230012800100180003,12
cx_05d3291bed60f5a3,1233010200108220000,12
cx_05d54ea6b8d34e44,4729025322119900000,47
cx_05f1f005605481ec,5214011100110580000,52
cx_05f8793d62ea7eb1,4315011500111690007,43
cx_06097269368efa5a,4421010200105380002,44
cx_0614b57ba4ce1a79,2827510700101510003,28
cx_0628302b8de995a6,5111012000109030000,51
cx_063037ad808f8903,2617010300109450005,26
cx_063106b830ae36a2,4729025022112180000,47
cx_06316ed1afbf924d,3120010800104100001,31
cx_063590cff32a3a98,2817710600100130009,28
cx_063925b083d3e8ee,5213015100135420000,52
cx_063eee5056e72bae,4812913900113880000,48
