lawd_cd,name,metro,year_month,has_rent,tx_trade_count
30110,"동구",daejeon,201905,0,0
30110,"동구",daejeon,202110,0,0
30110,"동구",daejeon,202111,0,0
30110,"동구",daejeon,202112,0,0
30110,"동구",daejeon,202201,0,0
30110,"동구",daejeon,202202,0,0
30110,"동구",daejeon,202203,0,0
30110,"동구",daejeon,202204,0,0
30110,"동구",daejeon,202205,0,0
30110,"동구",daejeon,202206,0,0
30110,"동구",daejeon,202207,0,0
30110,"동구",daejeon,202208,0,0
30110,"동구",daejeon,202209,0,0
30110,"동구",daejeon,202210,1,0
30110,"동구",daejeon,202211,1,0
30110,"동구",daejeon,202212,1,0
30140,"중구",daejeon,201906,0,0
30140,"중구",daejeon,202110,0,0
30140,"중구",daejeon,202111,0,0
30140,"중구",daejeon,202112,0,0
30140,"중구",daejeon,202201,0,0
30140,"중구",daejeon,202202,0,0
30140,"중구",daejeon,202203,0,0
30140,"중구",daejeon,202204,0,0
30140,"중구",daejeon,202205,0,0
30140,"중구",daejeon,202206,0,0
30140,"중구",daejeon,202207,0,0
30140,"중구",daejeon,202208,0,0
30140,"중구",daejeon,202209,0,0
30140,"중구",daejeon,202210,1,0
30140,"중구",daejeon,202211,1,0
30140,"중구",daejeon,202212,1,0
30170,"서구",daejeon,202110,0,0
30170,"서구",daejeon,202111,0,0
30170,"서구",daejeon,202112,0,0
30170,"서구",daejeon,202201,0,0
30170,"서구",daejeon,202202,0,0
30170,"서구",daejeon,202203,0,0
30170,"서구",daejeon,202204,0,0
30170,"서구",daejeon,202205,0,0
30170,"서구",daejeon,202206,0,0
30170,"서구",daejeon,202207,0,0
30170,"서구",daejeon,202208,0,0
30170,"서구",daejeon,202209,0,0
30170,"서구",daejeon,202210,1,0
30170,"서구",daejeon,202211,1,0
30170,"서구",daejeon,202212,1,0
30200,"유성구",daejeon,202110,0,0
30200,"유성구",daejeon,202111,0,0
30200,"유성구",daejeon,202112,0,0
30200,"유성구",daejeon,202201,0,0
30200,"유성구",daejeon,202202,0,0
30200,"유성구",daejeon,202203,0,0
30200,"유성구",daejeon,202204,0,0
